Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Новоалексеевская улица, 16 к4",1 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001081273225,55.807255,37.649555,70030076197375453,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:45Z,,0,32,https://2gis.com/firm/70000001081273225,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"проспект Мира, 124 к1",1 этаж,129164,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.4,10,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001037451901,55.816405,37.641029,4504235282568178,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:20Z,,0,32,https://2gis.com/firm/70000001037451901,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"проспект Мира, 102 к2",1 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,38,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001038296844,55.801929,37.636651,4504235282566845,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,7,2026-07-07T13:55:28Z,,0,32,https://2gis.com/firm/70000001038296844,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Маломосковская улица, 19",цокольный этаж,129164,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,2.8,3,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001097494467,55.813309,37.648918,4504235282567281,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:25Z,,0,32,https://2gis.com/firm/70000001097494467,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Маломосковская улица, вл14",1 этаж,129164,,Алексеевский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,25,88007777290,84957775190 (доп.4908),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001052563163,55.812822,37.648602,4504235312265998,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:20Z,,0,32,https://2gis.com/firm/70000001052563163,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"проспект Мира, 146",,129366,,Алексеевский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,60,88007777290,84957775190 (доп.7685),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001022046183,55.820945,37.643279,4504235282569384,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001022046183,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Бориса Галушкина, 19 к2",1 этаж,129301,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,5,89256689008,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001038308119,55.822035,37.662679,4504235282629639,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:20Z,,0,32,https://2gis.com/firm/70000001038308119,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Новоалексеевская улица, 16 к5",1 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001093025770,55.808625,37.64845,70030076255915626,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001093025770,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Хороший,гастроном,Продуктовые магазины,"Маломосковская улица, 2 к1",1 этаж,129164,,Алексеевский,Москва,,Москва,Россия,Пн: 06:00-01:00; Вт: 06:00-01:00; Ср: 06:00-01:00; Чт: 06:00-01:00; Пт: 06:00-01:00; Сб: 06:00-01:00; Вс: 06:00-01:00,+03:00,4.0,10,89175882903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001020627667,55.813401,37.640742,4504235282567601,,,1,70000001020627666,Хороший,гастроном,Продуктовые магазины,shop,1,6,2026-04-07T14:34:25Z,,0,32,https://2gis.com/firm/70000001020627667,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"1-й Рижский переулок, 3",1 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.4,8,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024369118,55.811312,37.656954,4504235282568751,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:36Z,,0,32,https://2gis.com/firm/70000001024369118,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Продуктовый магазин,,Продуктовые магазины,"проспект Мира, 108",цокольный этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,2,89100197160,,,,,,,,,,,,,,,,,,,,,https://wa.me/79100197160,,,,,,https://t.me/+79100197160,,,,,,,,,4504127908842719,55.803536,37.637563,4504235282566632,,,1,4504136498541298,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,6,2025-12-22T10:15:21Z,,0,32,https://2gis.com/firm/4504127908842719,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"1-й Рижский переулок, 3",1 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.4,8,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024369118,55.811312,37.656954,4504235282568751,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:36Z,,0,32,https://2gis.com/firm/70000001024369118,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"проспект Мира, 146",,129366,,Алексеевский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,60,88007777290,84957775190 (доп.7685),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001022046183,55.820945,37.643279,4504235282569384,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001022046183,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Бориса Галушкина, 19 к2",1 этаж,129301,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,5,89256689008,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001038308119,55.822035,37.662679,4504235282629639,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:20Z,,0,32,https://2gis.com/firm/70000001038308119,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Продуктовый магазин,,Продуктовые магазины,"Ярославская улица, 10 к4",1 этаж,129366,,Алексеевский,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001110871025,55.819017,37.649769,4504235282569327,,,1,70000001110871024,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-06-26T17:14:01Z,,0,32,https://2gis.com/firm/70000001110871025,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
Продуктовый магазин,,Продуктовые магазины,"Ракетный бульвар, 17",1 этаж,129301,,Алексеевский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (зимний период: пн-вс 9:00-21:00),+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001080731306,55.818954,37.654413,4504235282569225,,,1,70000001080731305,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,7,2026-07-01T10:50:21Z,,0,32,https://2gis.com/firm/70000001080731306,branch,20,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726568
